cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
3153,Thu Aug 11 06:10:21 CEST 2022,11.73,478,378.77,5691.64,0.05,23255.9,2.54,4,0.5,11744.18,175827.36,1.28,54.62,0.01,276.9,378.93,2335.98,1
3134,Thu Aug 11 06:29:21 CEST 2022,20.32,478,201.36,6281.67,0.04,9562.85,1.82,3,0.38,4799.25,126974.06,0.92,22.51,0.01,108.7,202.83,961.26,11
5420,Thu Aug 11 06:40:56 CEST 2022,14.97,503,75.4,1613.54,0.04,4629.42,2.37,4,0.48,2337.97,45249.3,1.2,11.88,0.01,64.41,75.67,467.59,10
2513,Thu Aug 11 06:49:21 CEST 2022,22.39,538,150.77,3176.9,0.03,9650.19,2.19,4,0.45,4851.3,98978.81,1.1,16.91,0,108.18,151.5,964.68,1
3131,Thu Aug 11 07:01:04 CEST 2022,8.27,375,339.8,5753.47,0.05,25830.4,3.52,4,0.64,12995.2,224806.72,1.77,55.18,0.01,352,338,2574.4,1
7435,Thu Aug 11 07:15:21 CEST 2022,17.68,418,389.9,3956.58,0.09,28004.78,6.59,3,0.43,14051.2,95859.04,3.32,72.68,0.02,510.29,381.5,2810.53,1
6500,Thu Aug 11 07:30:22 CEST 2022,6.36,237,126.22,1660.84,0.03,14979.75,3.15,1,0.25,7577.22,94379.75,1.58,83.27,0.02,182.28,122.34,1450.63,0
2507,Thu Aug 11 07:34:21 CEST 2022,16.98,418,504.7,4882.63,0.08,40307.66,6.27,4,0.57,20316.75,180973.21,3.16,104.03,0.02,742.11,492.17,3927.27,1
6732,Thu Aug 11 07:44:25 CEST 2022,9.48,354,208.53,3156.61,0.03,16609.83,2.54,4,0.68,8385.76,100750.17,1.29,38.79,0.01,218.98,207.7,1654.92,1
5424,Thu Aug 11 07:50:21 CEST 2022,11.63,418,339.1,4366.39,0.08,28271.77,6.55,4,0.57,14217.7,170467.46,3.29,53.36,0.01,472.97,327.83,2850.72,1
7436,Thu Aug 11 08:01:29 CEST 2022,11.12,290,179.14,2128.58,0.06,18533.79,5.75,4,0.83,9308.28,92647.03,2.9,45.73,0.01,493.45,188.28,1779.31,11
7957,Thu Aug 11 08:06:21 CEST 2022,16.72,298,263.58,6570.77,0.04,25699.33,2.91,3,0.6,12958.39,293429.4,1.47,72.87,0.01,293.96,263.9,2601.34,1
7438,Thu Aug 11 08:12:25 CEST 2022,20.39,414,354.57,5484.33,0.05,20717.39,2.54,3,0.43,10494.2,140746.67,1.29,65.86,0.01,275.36,353.83,2088.41,1
6720,Thu Aug 11 08:21:40 CEST 2022,12.03,339,455.77,5735.37,0.04,36872.57,3.39,5,0.88,18716.81,252762.48,1.72,82.47,0.01,521.24,456.83,3736.28,1
5427,Thu Aug 11 08:27:21 CEST 2022,14.7,358,203.84,4774.25,0.04,13221.12,2.72,3,0.5,6673.07,133323.69,1.39,40.3,0.01,172.96,202.67,1294.86,0
233,Thu Aug 11 08:37:28 CEST 2022,6.72,291,140.99,2830.12,0.04,8220.62,2.63,4,0.82,4169.07,80260.21,1.35,28.33,0.01,152.58,140,830.93,11
6244,Thu Aug 11 08:45:20 CEST 2022,16.57,419,165.3,5568.3,0.03,4467.78,0.76,3,0.43,2304.06,74902.63,0.4,29.49,0.01,105.97,164.17,453.94,11
5426,Thu Aug 11 08:53:20 CEST 2022,15.46,419,226.33,5242.5,0.03,13463.48,1.92,5,0.72,6872.08,140070.07,0.98,39.01,0.01,239.14,228,1376.13,10
2505,Thu Aug 11 09:00:21 CEST 2022,13.86,418,288.97,5625.31,0.05,21858.37,2.99,3,0.43,11036.84,180270.43,1.51,59.91,0.01,239.71,289.83,2194.74,1
2511,Thu Aug 11 09:10:06 CEST 2022,15.66,373,466.9,5192.99,0.06,43032.71,5.26,5,0.8,21834.85,227555.71,2.66,88.53,0.01,540.48,467.33,4365.68,1
9754,Thu Aug 11 09:16:21 CEST 2022,10.76,418,470.47,6475.37,0.07,26618.47,3.97,5,0.72,13671.67,162691.87,2.05,95.39,0.01,762.2,481.5,2662.68,1
6721,Thu Aug 11 09:35:32 CEST 2022,17.61,347,328.56,2754.93,0.05,26823.63,4.35,5,0.86,13559.65,110785.59,2.2,62,0.01,612.97,338.53,2575.33,1
2504,Thu Aug 11 09:42:45 CEST 2022,9.03,274,295.42,4438.02,0.04,26141.61,3.46,4,0.88,13182.48,199125.11,1.75,66.98,0.01,397.45,297.09,2590.51,1
